Question,A,B,C,D,Answer
What is 41 + 8?,39,46,49,47,C
What is 44 + 48?,99,92,100,84,B
What is 6 + 14?,26,29,20,17,C
What is 46 + 42?,88,91,85,95,A
What is 1 + 49?,53,45,48,50,D
What is 7 + 6?,14,13,15,6,B
What is 3 + 47?,43,50,57,54,B
What is 41 + 40?,81,82,77,89,A
What is 50 + 19?,66,69,61,62,B
What is 41 + 24?,66,65,61,60,B
What is 39 + 41?,80,77,87,75,A
What is 18 + 41?,59,50,56,66,A
What is 26 + 18?,52,44,40,36,B
What is 26 + 42?,68,62,72,66,A
What is 48 + 38?,89,94,88,86,D
What is 33 + 32?,57,56,58,65,D
What is 44 + 28?,72,81,74,64,A
What is 34 + 17?,41,58,44,51,D
What is 8 + 19?,22,31,30,27,D
What is 33 + 49?,82,88,77,75,A
What is 10 + 24?,29,41,34,40,C
What is 32 + 2?,33,27,35,34,D
What is 37 + 6?,50,43,48,35,B
What is 36 + 11?,53,45,56,47,D
What is 46 + 20?,66,67,68,76,A
What is 8 + 16?,14,24,21,16,B
What is 1 + 5?,-3,3,6,16,C
What is 5 + 33?,38,43,36,35,A
What is 47 + 37?,84,81,89,92,A
What is 7 + 7?,18,15,14,17,C
What is 4 + 26?,26,23,30,27,C
What is 9 + 28?,35,37,32,41,B
What is 36 + 7?,43,50,53,34,A
What is 11 + 27?,43,34,38,40,C
What is 1 + 25?,24,25,26,30,C
What is 10 + 13?,23,14,22,19,A
What is 4 + 4?,14,13,8,16,C
What is 12 + 5?,26,9,17,14,C
What is 38 + 39?,69,68,77,86,C
What is 17 + 14?,33,31,29,28,B
What is 30 + 21?,51,55,41,43,A
What is 33 + 17?,50,44,42,51,A
What is 11 + 29?,47,49,39,40,D
What is 43 + 7?,50,44,43,48,A
What is 18 + 19?,33,37,47,46,B
What is 17 + 4?,13,31,24,21,D
What is 22 + 50?,72,70,82,66,A
What is 36 + 46?,89,82,85,72,B
What is 35 + 3?,38,46,39,45,A
What is 3 + 20?,23,24,14,19,A
